BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,03Jul2020,Central,Y,,,"5,909","5,873","5,909",,,,,,,,,"3,966","1,907",2.24,,,"6,006",,,,"6,006",33,"6,003",,"5,909",36,2.24,
GLHB,04Jul2020,Central,Y,,,"5,575","5,544","5,575",,,,,,,,,"4,013","1,531",2.24,,,"5,665",,,,"5,665",30,"5,663",,"5,575",31,2.24,
GLHB,05Jul2020,Central,Y,,,"7,465","7,425","7,465",,,,,,,,,"4,151","3,274",2.24,,,"7,590",,,,"7,590",0,"7,549",,"7,465",40,2.24,
GLHB,06Jul2020,Central,Y,,,"7,205","7,174","7,205",,,,,,,,,"4,311","2,863",2.24,,,"7,329",,,,"7,329",0,"7,298",,"7,205",31,2.24,
GLHB,07Jul2020,Central,Y,,,"7,541","7,504","7,541",,,,,,,,,"4,428","3,076",2.24,,,"7,671",,,,"7,671",0,"7,633",,"7,541",37,2.24,
GLHB,08Jul2020,Central,Y,,,"8,161","8,120","8,161",,,,,,,,,"4,366","3,754",2.25,,,"8,312",,,,"8,312",0,"8,270",,"8,161",41,2.25,
GLHB,09Jul2020,Central,Y,,,"8,910","8,862","8,910",,,,,,,,,"4,670","4,192",2.25,,,"9,081",,,,"9,081",0,"9,032",,"8,910",48,2.25,
GLHB,10Jul2020,Central,Y,,,"7,161","7,118","7,161",,,,,,,,,"4,743","2,375",2.25,,,"7,295",,,,"7,295",0,"7,251",,"7,161",43,2.25,
GLHB,11Jul2020,Central,Y,,,"5,667","5,630","5,667",,,,,,,,,"4,104","1,526",2.24,,,"5,762",,,,"5,762",0,"5,725",,"5,667",37,2.24,
GLHB,12Jul2020,Central,Y,,,"6,066","6,031","6,066",,,,,,,,,"3,802","2,229",2.24,,,"6,166",,,,"6,166",0,"6,130",,"6,066",35,2.24,
GLHB,13Jul2020,Central,Y,,,"7,089","7,046","7,089",,,,,,,,,"4,574","2,472",2.24,,,"7,213",,,,"7,213",0,"7,169",,"7,089",43,2.24,
GLHB,14Jul2020,Central,Y,,,"5,516","5,479","5,516",,,,,,,,,"4,387","1,092",2.24,,,"5,609",,,,"5,609",39,"5,611",,"5,516",37,2.24,
GLHB,15Jul2020,Central,Y,,,"6,648","6,601","6,648",,,,,,,,,"4,734","1,867",2.24,,,"6,763",,,,"6,763",47,"6,763",,"6,648",47,2.24,
GLHB,16Jul2020,Central,Y,,,"6,252","6,201","6,252",,,,,,,,,"4,740","1,461",2.24,,,"6,363",,,,"6,363",146,"6,459",,"6,252",51,2.24,
