BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,04Aug2020,Central,N,"32,588","16,835","18,646","1,808",694,"17,933",,,5,,,105,,-782,"2,590",2.24,0.90,,,"7,337",,1,"8,126",420,"1,155","7,391","18,819","17,011",0.95,0.96
AEC,05Aug2020,Central,N,"32,745","16,808","18,954","2,144","4,015","14,835",,,0,,,102,,-76,"2,220",2.24,0.90,,"4,083","6,072",,1,"10,156",124,"1,285","8,995","18,952","16,808",1.18,1.18
AEC,06Aug2020,Central,N,"32,442","16,666","18,614","1,946","4,423","14,085",,,0,,,103,,523,"1,423",2.24,0.90,,"4,495","5,768",,1,"10,264",2,"1,096","9,170","18,611","16,665",1.22,1.21
AEC,07Aug2020,Central,N,"32,509","16,595","18,602","2,005","4,448","14,051",,,0,,,104,,"1,140",865,2.24,0.90,,"4,525","5,768",,1,"10,294",14,"1,147","9,160","18,603","16,598",1.22,1.22
AEC,08Aug2020,Central,N,"33,160","16,285","19,290","3,006","4,446","14,733",,,0,,,110,,"1,672","1,334",2.24,0.90,,"4,521","6,042",,1,"10,563",49,"1,709","8,903","19,289","16,283",1.21,1.21
AEC,09Aug2020,Central,N,"33,669","16,433","19,950","3,517","4,447","14,907",,,488,,,103,,"1,116","2,401",2.24,0.90,,"4,527","6,110",,4,"10,640",19,"1,907","8,752","19,945","16,428",1.18,1.17
AEC,10Aug2020,Central,N,"33,933","17,097","20,974","3,877","4,426","16,441",,,0,,,106,,872,"3,005",2.25,0.90,,"4,507","6,728",,1,"11,236",17,"2,078","9,175","20,973","17,096",1.18,1.18
AEC,11Aug2020,Central,N,"33,533","15,564","18,485","2,921","4,415","13,950",,,17,,,103,,953,"1,983",2.24,0.90,,"4,492","5,701",,1,"10,194",26,"1,635","8,586","18,485","15,549",1.22,1.22
AEC,12Aug2020,Central,N,"33,360","16,380","18,194","1,872","4,396","13,665",,,21,,,107,,"2,434",-562,2.25,0.90,,"4,483","5,590",,1,"10,074",398,"1,550","8,922","18,189","16,317",1.22,1.21
AEC,13Aug2020,Central,N,"31,995","15,878","16,892","1,018","3,721","15,101",,,0,,,107,,-131,"1,149",2.25,0.90,,"3,791","6,173",,1,"9,964",288,825,"9,427","18,929","17,911",1.16,1.16
AEC,14Aug2020,Central,N,"30,314","15,049","16,071","1,022","1,853","16,286",,,46,,,108,,-271,"1,293",2.24,0.90,,"1,887","6,658",,1,"8,546",214,622,"8,138","18,293","17,271",1.03,1.04
AEC,15Aug2020,Central,N,"29,846","15,245","15,198",-48,-20,"15,408",,,17,,,107,,244,-292,,0.90,,,"6,290",,1,"6,291",425,362,"6,353","15,532","15,580",0.89,0.90
AEC,16Aug2020,Central,N,"32,177","16,275","17,482","1,207",-46,"17,644",,,20,,,106,,429,778,,0.90,,,"7,212",,1,"7,213",163,638,"6,739","17,770","16,563",0.89,0.90
AEC,17Aug2020,Central,N,"32,815","16,461","16,026",-435,-109,"16,187",,,35,,,105,,-138,-297,,0.90,,,"6,613",,1,"6,614",390,146,"6,857","16,327","16,762",0.89,0.90
AEC,18Aug2020,Central,N,"32,043","16,406","15,446",-959,-120,"15,594",,,21,,,106,,-336,-623,,0.90,,,"6,372",,1,"6,373",692,169,"6,897","15,721","16,680",0.89,0.91
AEC,19Aug2020,Central,N,"30,638","15,185","15,725",536,-175,"15,883",,,3,,,108,,472,64,,0.90,,,"6,497",,1,"6,498",121,324,"6,294","15,994","15,458",0.90,0.90
AEC,20Aug2020,Central,N,"27,904","13,067","12,418",-644,-115,"12,470",,,36,,,108,,813,"-1,457",,0.90,,,"5,110",,1,"5,111",672,340,"5,443","12,614","13,258",0.89,0.91
AEC,21Aug2020,Central,N,"26,994","14,039","13,823",-214,-100,"13,398",,,413,,,108,,329,-543,,0.90,,,"5,488",,3,"5,491",436,287,"5,640","13,919","14,133",0.87,0.88
AEC,22Aug2020,Central,N,"27,526","14,325","13,649",-661,-96,"13,622",,,19,,,107,,5,-666,,0.90,,,"5,572",,1,"5,573",606,239,"5,940","13,748","14,409",0.89,0.91
AEC,23Aug2020,Central,N,"27,122","13,815","13,716",-82,-94,"13,682",,,18,,,104,,13,-95,,0.90,,,"5,596",,1,"5,596",268,187,"5,678","13,804","13,886",0.89,0.90
