BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AVRN,16Dec2018,Pacific,Y,,,"2,042","2,042",,,,,0,0,"2,042",,,"2,042",,,,,,,,14,14,0,14,,"2,042",0,0.01,
AVRN,17Dec2018,Pacific,Y,,,"4,344","4,344",,,,,0,0,"4,344",,,"4,344",,,,,,,,29,29,0,29,,"4,344",0,0.01,
AVRN,18Dec2018,Pacific,Y,,,"15,972",,,,,,0,0,"15,972",,,"73,547",,,,,,,,106,106,0,489,,"15,972","-57,575",0.01,
AVRN,19Dec2018,Pacific,Y,,,"6,047","6,047",,,,,0,0,"6,047",,,"6,047",,,,,,,,40,40,1,40,,"6,055",8,0.01,
AVRN,20Dec2018,Pacific,Y,,,"9,815",,,,,,0,0,"9,815",,,"27,227",,,,,,,,65,65,3,181,,"9,841","-17,386",0.01,
AVRN,21Dec2018,Pacific,Y,,,"11,676",,,,,,0,0,"11,676",,,"87,618",,,,,,,,78,78,0,582,,"11,676","-75,942",0.01,
AVRN,22Dec2018,Pacific,Y,,,"2,704",,,,,,0,0,"2,704",,,"115,604",,,,,,,,18,18,3,768,,"2,729","-112,875",0.01,
AVRN,23Dec2018,Pacific,Y,,,"2,284",,,,,,0,0,"2,284",,,"79,079",,,,,,,,15,15,0,526,,"2,284","-76,795",0.01,
AVRN,24Dec2018,Pacific,Y,,,"4,508",,,,,,0,0,"4,508",,,"57,146",,,,,,,,30,30,0,380,,"4,508","-52,638",0.01,
AVRN,25Dec2018,Pacific,Y,,,478,478,,,,,0,0,478,,,478,,,,,,,,3,3,5,3,,510,32,0.01,
AVRN,26Dec2018,Pacific,Y,,,"1,284","1,284",,,,,0,0,"1,284",,,"1,284",,,,,,,,9,9,10,9,,"1,350",66,0.01,
AVRN,27Dec2018,Pacific,Y,,,"1,522","1,522",,,,,0,0,"1,522",,,"1,522",,,,,,,,10,10,1,10,,"1,529",7,0.01,
AVRN,28Dec2018,Pacific,Y,,,"3,166","3,166",,,,,0,0,"3,166",,,"3,166",,,,,,,,21,21,5,21,,"3,221",55,0.01,
AVRN,29Dec2018,Pacific,Y,,,"19,255",,,,,,0,0,"19,255",,,"34,134",,,,,,,,128,128,0,227,,"19,255","-14,879",0.01,
AVRN,30Dec2018,Pacific,Y,,,"14,282","14,282",,,,,0,0,"14,282",,,"14,282",,,,,,,,95,95,0,95,,"14,282",0,0.01,
AVRN,31Dec2018,Pacific,Y,,,"1,752","1,752",,,,,0,0,"1,752",,,"1,752",,,,,,,,12,12,3,12,,"1,785",33,0.01,
AVRN,01Jan2019,Pacific,Y,,,"2,070","2,070",,,,,0,0,"2,070",,,"2,070",,,,,,,,13,13,2,13,,"2,092",22,0.01,
AVRN,02Jan2019,Pacific,Y,,,"1,194","1,194",,,,,0,0,"1,194",,,"1,194",,,,,,,,8,8,0,8,,"1,198",4,0.01,
AVRN,03Jan2019,Pacific,Y,,,"5,269","5,269",,,,,0,0,"5,269",,,"5,269",,,,,,,,33,33,0,33,,"5,269",0,0.01,
AVRN,04Jan2019,Pacific,Y,,,"4,942","4,942",,,,,0,0,"4,942",,,"4,942",,,,,,,,31,31,3,31,,"4,961",19,0.01,
AVRN,05Jan2019,Pacific,Y,,,"3,200","3,200",,,,,0,0,"3,200",,,"3,200",,,,,,,,20,20,0,20,,"3,200",0,0.01,
AVRN,06Jan2019,Pacific,Y,,,"12,873",,,,,,0,0,"12,873",,,"57,925",,,,,,,,81,81,0,363,,"12,873","-45,052",0.01,
AVRN,07Jan2019,Pacific,Y,,,"10,410","10,410",,,,,0,0,"10,410",,,"10,410",,,,,,,,65,65,1,65,,"10,418",8,0.01,
AVRN,08Jan2019,Pacific,Y,,,"6,845",,,,,,0,0,"6,845",,,"53,802",,,,,,,,43,43,0,337,,"6,845","-46,957",0.01,
