BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,25Sep2015,Eastern,N,"423,746","424,085","370,394","-53,691",,,,,,,,,,"-35,813","7,223","5,164","-30,268",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,26Sep2015,Eastern,N,"378,912","377,890","329,802","-48,088",,,,,,,,,,"-34,432",473,"3,586","-17,716",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,27Sep2015,Eastern,N,"364,243","369,044","342,821","-26,223",,,,,,,,,,"-32,869","1,804","3,845","1,002",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,28Sep2015,Eastern,N,"423,940","435,359","413,499","-21,860",,,,,,,,,,"-32,734","1,554","6,741","2,574",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,29Sep2015,Eastern,N,"451,640","475,134","433,653","-41,481",,,,,,,,,,"-33,546","-7,212","6,769","-7,493",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,30Sep2015,Eastern,N,"440,848","457,786","425,264","-32,522",,,,,,,,,,"-32,939","-11,386","9,662","2,144",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,01Oct2015,Eastern,N,"407,985","398,670","372,419","-26,251",,,,,,,,,,"-30,881","-10,997","8,940","6,690",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,02Oct2015,Eastern,N,"394,412","394,234","366,055","-28,179",,,,,,,,,,"-29,863","-3,835","6,348",-809,,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,03Oct2015,Eastern,N,"362,229","371,540","343,606","-27,934",,,,,,,,,,"-4,633","-15,529","7,374","-15,146",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,04Oct2015,Eastern,N,"344,918","340,396","330,350","-10,046",,,,,,,,,,"-4,240","-8,240","14,775","-12,224",,,,,,,,,,,,,,,,,,,,,,,,,,
