BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,16Nov2015,Pacific,N,"29,872","30,920","16,612","-13,976",,,,,,,,,,"-12,947","-1,087",,,,,,,,,,,,,,,
SCL,17Nov2015,Pacific,N,"28,698","28,414","14,643","-13,505",,,,,,,,,,"-11,586","-1,967",,,,,,,,,,,,,,,
SCL,18Nov2015,Pacific,N,"28,810","29,011","14,927","-13,815",,,,,,,,,,"-10,037","-3,826",,,,,,,,,,,,,,,
SCL,19Nov2015,Pacific,N,"29,278","29,231","16,101","-12,838",,,,,,,,,,"-10,896","-1,989",,,,,,,,,,,,,,,
SCL,20Nov2015,Pacific,N,"31,051","31,220","18,528","-12,369",,,,,,,,,,"-10,525","-1,909",,,,,,,,,,,,,,,
SCL,21Nov2015,Pacific,N,"29,445","29,998","16,019","-13,650",,,,,,,,,,"-11,454","-2,269",,,,,,,,,,,,,,,
SCL,22Nov2015,Pacific,N,"29,505","29,649","15,769","-13,562",,,,,,,,,,"-11,269","-2,363",,,,,,,,,,,,,,,
SCL,23Nov2015,Pacific,N,"31,850","32,914","17,907","-14,663",,,,,,,,,,"-11,835","-2,922",,,,,,,,,,,,,,,
SCL,24Nov2015,Pacific,N,"32,665","32,154","14,063","-17,778",,,,,,,,,,"-16,450","-1,371",,,,,,,,,,,,,,,
SCL,25Nov2015,Pacific,N,"32,645","31,967","14,548","-17,124",,,,,,,,,,"-16,461",-727,,,,,,,,,,,,,,,
SCL,26Nov2015,Pacific,N,"28,370","28,770","17,039","-11,421",,,,,,,,,,"-10,818",-675,,,,,,,,,,,,,,,
SCL,27Nov2015,Pacific,N,"28,737","29,539","16,975","-12,283",,,,,,,,,,"-11,584",-778,,,,,,,,,,,,,,,
SCL,28Nov2015,Pacific,N,"30,559","30,780","16,183","-14,348",,,,,,,,,,"-12,713","-1,712",,,,,,,,,,,,,,,
